,Model,Price,Engine Specifications,Launch Date,Reviews,Rating,Check out link
16,BMW R 1250 RT,"24,02,762 Onwards","1254 cc, 21 kmpl, 134 bhp, 279 kg",17thAUG,(0 ratings),Not rated yet,https://www.bikewale.com/harleydavidson-bikes/sportster-s/
17,Honda CBR1000RR-R Fireblade,"23,72,222 Onwards","1000 cc, 215 bhp, 201 kg",13thJAN,(11 ratings),4.9,https://www.bikewale.com/harleydavidson-bikes/sportster-s/
18,Aprilia RSV4 1100 Factory,"23,69,000 Onwards","1099 cc, 213.89 bhp, 202 kg",2ndSEP,(4 ratings),5,https://www.bikewale.com/harleydavidson-bikes/nightster/
19,Kawasaki Z H2,"23,01,754 Onwards","998 cc, 197.26 bhp, 239 kg",4thJAN,(22 ratings),4.8,https://www.bikewale.com/harleydavidson-bikes/nightster/
20,Indian Super Chief Limited,"22,82,155 Onwards","1890 cc, 14 kmpl, 335 kg",27thAUG,(2 ratings),5,https://www.bikewale.com/kawasaki-bikes/vulcan-s/
21,BMW R 1250 GS Adventure,"22,65,865 Onwards","1254 cc, 21 kmpl, 134.1 bhp, 268 kg",8thJUL,(12 ratings),5,https://www.bikewale.com/kawasaki-bikes/vulcan-s/
22,Ducati Streetfighter V4,"22,15,000 Onwards","1103 cc, 13 kmpl, 205.17 bhp, 201 kg",13thMAY,(11 ratings),4.9,https://www.bikewale.com/kawasaki-bikes/ninja-h2r/
23,BMW S 1000 XR,"22,09,275 Onwards","999 cc, 15 kmpl, 162.26 bhp, 228 kg",16thJUL,(17 ratings),4.9,https://www.bikewale.com/kawasaki-bikes/ninja-h2r/
24,Ducati Diavel 1260,"21,49,000 Onwards","1262 cc, 18 kmpl, 159.58 bhp, 249 kg",8thJUN,(1 rating),5,https://www.bikewale.com/bmw-bikes/m-1000-rr/
25,Ducati Multistrada V4,"21,48,000 Onwards","1158 cc, 15 kmpl, 167.62 bhp, 240 kg",22ndJUL,(0 ratings),Not rated yet,https://www.bikewale.com/bmw-bikes/m-1000-rr/
26,Indian Chief Bobber Dark Horse,"21,39,925 Onwards","1890 cc, 14 kmpl, 315 kg",27thAUG,(1 rating),5,https://www.bikewale.com/honda-bikes/goldwing/
27,Ducati XDiavel,"21,20,000 Onwards","1262 cc, 18 kmpl, 160 bhp, 247 kg",12thAUG,(3 ratings),4.7,https://www.bikewale.com/honda-bikes/goldwing/
28,BMW R 1250 GS,"20,79,745 Onwards","1254 cc, 21 kmpl, 134.1 bhp, 249 kg",8thJUL,(2 ratings),5,https://www.bikewale.com/bmw-bikes/k-1600/
29,Aprilia Tuono Factory,"20,66,000 Onwards","1077 cc, 172.58 bhp, 209 kg",2ndSEP,(0 ratings),Not rated yet,https://www.bikewale.com/bmw-bikes/k-1600/
